"location";"source";"target";
"/Controller/Component/OrderUpdateComponent.php:146";"The order could be be stored";"L'ordine puo' essere immagazzinato";
"/Controller/Component/OrderUpdateComponent.php:50 /Controller/Component/OrderUpdateComponent.php:164";"Unknown registration";"Iscrizione sconosciuta";
"/Controller/Component/OrderUpdateComponent.php:65";"Illegal type";"Tipo dati non permesso";
"/Controller/Component/OrderUpdateComponent.php:76";"Unknown user";"Utente sconosciuto";
"/Controller/Component/RegistrationUpdateComponent.php:116";"Cannot change type of registration";"Impossibile cambiare tipo di iscrizione";
"/Controller/Component/RegistrationUpdateComponent.php:149";"The new registration could not be created";"La nuova iscrizione non e' stata creata";
"/Controller/Component/RegistrationUpdateComponent.php:45";"Unknown user";" Utente sconosciuto {0}";""""
"/Controller/Component/WelcomeMailComponent.php:109 /Controller/UsersController.php:165 /Controller/UsersController.php:231";"Double Entries";"Iscrizioni Doppi";
"/Controller/OrdersController.php:1290";"[{0}] Cancellation of registration {1} from {2}";"Cancellazione dell'iscrizione {1} da {2} ";
"/Controller/ShopsController.php:1173";"[{0}] Your registration {1} from {2}";"[{0}] La tua iscrizione {1} da {2}";
"/Controller/ShopsController.php:1300";"[{0}] Your voucher for your registration {1} from {2}";"[{0}] Il voucher per la tua iscrizione {1} da {2}";
"/Controller/ShopsController.php:1556";"The order was not found";"L'ordine non e' stato trovato";
"/Controller/ShopsController.php:1627 /Controller/ShopsController.php:1635";"This registration is invalid";"Iscrizione non valida";
"/Controller/ShopsController.php:164";"Player";"Giocatore";
"/Controller/ShopsController.php:1640";"The registration was already paid for";"Pagamento per questa iscrizione gia' effettuato";
"/Controller/ShopsController.php:1649";"You cannot pay for this registration at this moment";"Al momento non puoi pagare per questa iscrizione";
"/Controller/ShopsController.php:166";"Accompanying Person";"Accompagnatore";
"/Controller/ShopsController.php:194 /Controller/ShopsController.php:214 /Controller/ShopsController.php:469 /Controller/ShopsController.php:483";"You cannot register players after registration closed for players on {0}";"Non puoi iscrivere giocatori dopo che l'iscrizione per i giocatori e' stata chiusa su {0}";
"/Controller/ShopsController.php:202 /Controller/ShopsController.php:474";"You cannot register players at the moment. Registration will open soon. Please visit <a href={0} target=_blank>{0}</a> for more information.";"Al momento non puoi iscrivere giocatori. Le iscrizioni inizieranno a breve. Per informazioni visita l'indirizzo <a href={0} target=_blank>{0}</a>";
"/Controller/ShopsController.php:207 /Controller/ShopsController.php:479";"You cannot register players before registration opens for players on {0}";"Non puoi iscrivere giocatori prima che le iscrizioni per giocatori inizino su {0}";
"/Controller/ShopsController.php:224";"The registration for players has been closed";"Le iscrizioni per i giocatori sono chiuse";
"/Controller/ShopsController.php:233";"Players are already sold out and adding more will put your registration on the waiting list";"Il numero massimo di giocatori e' stato raggiunto e aggiungendone altri collochera' la loro iscrizione alla lista di attesa";
"/Controller/ShopsController.php:242";"The registration for accompanying persons has been closed";"Le iscrizioni per gli accompagnatori sono chiuse";
"/Controller/ShopsController.php:251";"Accompanying persons are already sold out and adding more will put your registration on the waiting list";"Il numero massimo di accompagnatori e' stato raggiunto e aggiungendone altri collochera' la loro iscrizione alla lista di attesa";
